"Date","Site.Name","COUNTY","latitude_mean","longitude_mean","Month","Year","AQI_PM2.5","AQI_Ozone"
2020-01-22,"Millbrook School","Wake",35.856111,-78.574167,1,2020,46.3333333333333,32
2020-01-22,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,29.5,NA
2020-01-22,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,39,NA
2020-01-23,"Bryson City","Swain",35.434767,-83.442133,1,2020,18,NA
2020-01-23,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,8,NA
2020-01-23,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,39.5,NA
2020-01-23,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,26,NA
2020-01-23,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,11,37
2020-01-23,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,18.75,33.5
2020-01-23,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,29,NA
2020-01-23,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,12,NA
2020-01-23,"Linville Falls","Avery",35.972347,-81.933072,1,2020,10,NA
2020-01-23,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,25.5,NA
2020-01-23,"Millbrook School","Wake",35.856111,-78.574167,1,2020,28.25,36
2020-01-23,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,17.6666666666667,NA
2020-01-23,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,19,37
2020-01-24,"Bryson City","Swain",35.434767,-83.442133,1,2020,19.5,NA
2020-01-24,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,8.5,NA
2020-01-24,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,17,NA
2020-01-24,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,19.6666666666667,NA
2020-01-24,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,4,35
2020-01-24,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,10.5,28
2020-01-24,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,11.3333333333333,NA
2020-01-24,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,1.5,NA
2020-01-24,"Linville Falls","Avery",35.972347,-81.933072,1,2020,6,NA
2020-01-24,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,8,NA
2020-01-24,"Millbrook School","Wake",35.856111,-78.574167,1,2020,16.25,31
2020-01-24,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,9.66666666666667,NA
2020-01-24,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,9.5,32
2020-01-25,"Bryson City","Swain",35.434767,-83.442133,1,2020,28,NA
2020-01-25,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,9.5,NA
2020-01-25,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,34.5,NA
